security_id,exchange,board,listing_date,sample_reason
301389.SZ,SZ,ChiNext,20221031,deterministic 500 extension
300672.SZ,SZ,ChiNext,20170712,deterministic 500 extension
300807.SZ,SZ,ChiNext,20191219,deterministic 500 extension
301047.SZ,SZ,ChiNext,20210816,deterministic 500 extension
300145.SZ,SZ,ChiNext,20101209,deterministic 500 extension
301053.SZ,SZ,ChiNext,20210901,deterministic 500 extension
300168.SZ,SZ,ChiNext,20110125,deterministic 500 extension
300026.SZ,SZ,ChiNext,20091030,deterministic 500 extension
301665.SZ,SZ,ChiNext,20250411,deterministic 500 extension
300780.SZ,SZ,ChiNext,20190531,deterministic 500 extension
301525.SZ,SZ,ChiNext,20230830,deterministic 500 extension
300032.SZ,SZ,ChiNext,20091225,deterministic 500 extension
300841.SZ,SZ,ChiNext,20200616,deterministic 500 extension
300746.SZ,SZ,ChiNext,20180525,deterministic 500 extension
603828.SH,SH,SSE Main,20150226,deterministic 500 extension
600165.SH,SH,SSE Main,19980529,deterministic 500 extension
600730.SH,SH,SSE Main,19960726,deterministic 500 extension
600583.SH,SH,SSE Main,20020205,deterministic 500 extension
600734.SH,SH,SSE Main,19960808,deterministic 500 extension
600105.SH,SH,SSE Main,19970929,deterministic 500 extension
600239.SH,SH,SSE Main,19991202,deterministic 500 extension
603315.SH,SH,SSE Main,20150424,deterministic 500 extension
601021.SH,SH,SSE Main,20150121,deterministic 500 extension
605122.SH,SH,SSE Main,20210310,deterministic 500 extension
601999.SH,SH,SSE Main,20071221,deterministic 500 extension
603977.SH,SH,SSE Main,20161111,deterministic 500 extension
600880.SH,SH,SSE Main,19951115,deterministic 500 extension
600211.SH,SH,SSE Main,19990721,deterministic 500 extension
600711.SH,SH,SSE Main,19960531,deterministic 500 extension
601965.SH,SH,SSE Main,20120611,deterministic 500 extension
600616.SH,SH,SSE Main,19920929,deterministic 500 extension
603073.SH,SH,SSE Main,20230316,deterministic 500 extension
603325.SH,SH,SSE Main,20240110,deterministic 500 extension
603053.SH,SH,SSE Main,20191217,deterministic 500 extension
601928.SH,SH,SSE Main,20111130,deterministic 500 extension
601882.SH,SH,SSE Main,20161107,deterministic 500 extension
601678.SH,SH,SSE Main,20100223,deterministic 500 extension
601828.SH,SH,SSE Main,20180117,deterministic 500 extension
600760.SH,SH,SSE Main,19961011,deterministic 500 extension
001228.SZ,SZ,SZSE Main,20220429,deterministic 500 extension
002895.SZ,SZ,SZSE Main,20170825,deterministic 500 extension
003029.SZ,SZ,SZSE Main,20201224,deterministic 500 extension
000715.SZ,SZ,SZSE Main,19970508,deterministic 500 extension
002580.SZ,SZ,SZSE Main,20110506,deterministic 500 extension
000791.SZ,SZ,SZSE Main,19971014,deterministic 500 extension
000548.SZ,SZ,SZSE Main,19931220,deterministic 500 extension
002798.SZ,SZ,SZSE Main,20160525,deterministic 500 extension
002660.SZ,SZ,SZSE Main,20120316,deterministic 500 extension
002847.SZ,SZ,SZSE Main,20170208,deterministic 500 extension
000153.SZ,SZ,SZSE Main,20000920,deterministic 500 extension
002106.SZ,SZ,SZSE Main,20070112,deterministic 500 extension
002923.SZ,SZ,SZSE Main,20180105,deterministic 500 extension
002204.SZ,SZ,SZSE Main,20080116,deterministic 500 extension
000589.SZ,SZ,SZSE Main,19960308,deterministic 500 extension
002946.SZ,SZ,SZSE Main,20190125,deterministic 500 extension
000428.SZ,SZ,SZSE Main,19960808,deterministic 500 extension
002554.SZ,SZ,SZSE Main,20110225,deterministic 500 extension
000639.SZ,SZ,SZSE Main,19961126,deterministic 500 extension
001256.SZ,SZ,SZSE Main,20221205,deterministic 500 extension
002757.SZ,SZ,SZSE Main,20150527,deterministic 500 extension
002936.SZ,SZ,SZSE Main,20180919,deterministic 500 extension
002010.SZ,SZ,SZSE Main,20040629,deterministic 500 extension
002685.SZ,SZ,SZSE Main,20120612,deterministic 500 extension
000968.SZ,SZ,SZSE Main,20000622,deterministic 500 extension
688120.SH,SH,STAR,20220608,deterministic 500 extension
688677.SH,SH,STAR,20210226,deterministic 500 extension
688488.SH,SH,STAR,20200720,deterministic 500 extension
688567.SH,SH,STAR,20200717,deterministic 500 extension
688418.SH,SH,STAR,20200722,deterministic 500 extension
688623.SH,SH,STAR,20230608,deterministic 500 extension
688837.SH,SH,STAR,20260916,deterministic 500 extension
688257.SH,SH,STAR,20211027,deterministic 500 extension
688291.SH,SH,STAR,20221026,deterministic 500 extension
688765.SH,SH,STAR,20251028,deterministic 500 extension
688095.SH,SH,STAR,20200908,deterministic 500 extension
688755.SH,SH,STAR,20250516,deterministic 500 extension
688139.SH,SH,STAR,20191025,deterministic 500 extension
688551.SH,SH,STAR,20200910,deterministic 500 extension
688004.SH,SH,STAR,20200612,deterministic 500 extension
688727.SH,SH,STAR,20251118,deterministic 500 extension
688365.SH,SH,STAR,20200429,deterministic 500 extension
688618.SH,SH,STAR,20201230,deterministic 500 extension
688055.SH,SH,STAR,20200817,deterministic 500 extension
688199.SH,SH,STAR,20191105,deterministic 500 extension
688425.SH,SH,STAR,20210622,deterministic 500 extension
688662.SH,SH,STAR,20210401,deterministic 500 extension
688520.SH,SH,STAR,20200622,deterministic 500 extension
688027.SH,SH,STAR,20200709,deterministic 500 extension
688380.SH,SH,STAR,20220805,deterministic 500 extension
300540.SZ,SZ,ChiNext,20160823,deterministic 500 extension
301107.SZ,SZ,ChiNext,20220524,deterministic 500 extension
300120.SZ,SZ,ChiNext,20100917,deterministic 500 extension
300353.SZ,SZ,ChiNext,20120927,deterministic 500 extension
300859.SZ,SZ,ChiNext,20200806,deterministic 500 extension
300716.SZ,SZ,ChiNext,20171109,deterministic 500 extension
301308.SZ,SZ,ChiNext,20220805,deterministic 500 extension
301536.SZ,SZ,ChiNext,20240328,deterministic 500 extension
300452.SZ,SZ,ChiNext,20150515,deterministic 500 extension
301262.SZ,SZ,ChiNext,20230620,deterministic 500 extension
301618.SZ,SZ,ChiNext,20240930,deterministic 500 extension
300757.SZ,SZ,ChiNext,20190108,deterministic 500 extension
301503.SZ,SZ,ChiNext,20230717,deterministic 500 extension
300290.SZ,SZ,ChiNext,20120216,deterministic 500 extension
301555.SZ,SZ,ChiNext,20231031,deterministic 500 extension
300070.SZ,SZ,ChiNext,20100421,deterministic 500 extension
300340.SZ,SZ,ChiNext,20120726,deterministic 500 extension
300657.SZ,SZ,ChiNext,20170523,deterministic 500 extension
300702.SZ,SZ,ChiNext,20170919,deterministic 500 extension
300036.SZ,SZ,ChiNext,20091225,deterministic 500 extension
300645.SZ,SZ,ChiNext,20170421,deterministic 500 extension
301577.SZ,SZ,ChiNext,20240124,deterministic 500 extension
300388.SZ,SZ,ChiNext,20140801,deterministic 500 extension
300494.SZ,SZ,ChiNext,20151231,deterministic 500 extension
301511.SZ,SZ,ChiNext,20230817,deterministic 500 extension
600111.SH,SH,SSE Main,19970924,deterministic 500 extension
605580.SH,SH,SSE Main,20210819,deterministic 500 extension
603216.SH,SH,SSE Main,20211215,deterministic 500 extension
600482.SH,SH,SSE Main,20040714,deterministic 500 extension
603195.SH,SH,SSE Main,20200206,deterministic 500 extension
601166.SH,SH,SSE Main,20070205,deterministic 500 extension
603587.SH,SH,SSE Main,20180622,deterministic 500 extension
603871.SH,SH,SSE Main,20180206,deterministic 500 extension
603338.SH,SH,SSE Main,20150325,deterministic 500 extension
601375.SH,SH,SSE Main,20170103,deterministic 500 extension
600330.SH,SH,SSE Main,20010118,deterministic 500 extension
603077.SH,SH,SSE Main,20120731,deterministic 500 extension
600751.SH,SH,SSE Main,19960909,deterministic 500 extension
600498.SH,SH,SSE Main,20010823,deterministic 500 extension
601900.SH,SH,SSE Main,20160215,deterministic 500 extension
605338.SH,SH,SSE Main,20201012,deterministic 500 extension
603106.SH,SH,SSE Main,20170920,deterministic 500 extension
603272.SH,SH,SSE Main,20220520,deterministic 500 extension
601577.SH,SH,SSE Main,20180926,deterministic 500 extension
603086.SH,SH,SSE Main,20170511,deterministic 500 extension
600668.SH,SH,SSE Main,19930728,deterministic 500 extension
603889.SH,SH,SSE Main,20141231,deterministic 500 extension
600064.SH,SH,SSE Main,19970506,deterministic 500 extension
603037.SH,SH,SSE Main,20170120,deterministic 500 extension
600622.SH,SH,SSE Main,19921203,deterministic 500 extension
000697.SZ,SZ,SZSE Main,19970325,deterministic 500 extension
000607.SZ,SZ,SZSE Main,19960830,deterministic 500 extension
002608.SZ,SZ,SZSE Main,20110810,deterministic 500 extension
002759.SZ,SZ,SZSE Main,20150528,deterministic 500 extension
000538.SZ,SZ,SZSE Main,19931215,deterministic 500 extension
002557.SZ,SZ,SZSE Main,20110302,deterministic 500 extension
002077.SZ,SZ,SZSE Main,20061116,deterministic 500 extension
000032.SZ,SZ,SZSE Main,19931028,deterministic 500 extension
002211.SZ,SZ,SZSE Main,20080201,deterministic 500 extension
002526.SZ,SZ,SZSE Main,20101217,deterministic 500 extension
002276.SZ,SZ,SZSE Main,20090710,deterministic 500 extension
000709.SZ,SZ,SZSE Main,19970416,deterministic 500 extension
002436.SZ,SZ,SZSE Main,20100618,deterministic 500 extension
002394.SZ,SZ,SZSE Main,20100423,deterministic 500 extension
002391.SZ,SZ,SZSE Main,20100416,deterministic 500 extension
002292.SZ,SZ,SZSE Main,20090910,deterministic 500 extension
002233.SZ,SZ,SZSE Main,20080516,deterministic 500 extension
002842.SZ,SZ,SZSE Main,20170119,deterministic 500 extension
002537.SZ,SZ,SZSE Main,20110110,deterministic 500 extension
000899.SZ,SZ,SZSE Main,19971126,deterministic 500 extension
002431.SZ,SZ,SZSE Main,20100610,deterministic 500 extension
000536.SZ,SZ,SZSE Main,19931126,deterministic 500 extension
002291.SZ,SZ,SZSE Main,20090903,deterministic 500 extension
002153.SZ,SZ,SZSE Main,20070813,deterministic 500 extension
001328.SZ,SZ,SZSE Main,20230410,deterministic 500 extension
688708.SH,SH,STAR,20241205,deterministic 500 extension
688192.SH,SH,STAR,20211210,deterministic 500 extension
688728.SH,SH,STAR,20210818,deterministic 500 extension
688093.SH,SH,STAR,20200930,deterministic 500 extension
